Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
98,Entry short,2025-05-16 12:50,Short,3157,1,3157,-132,-0.42,3,0.01,-130,-0.41,2868,0.29
99,Exit long,2025-05-18 23:05,EOD Close 21:00 UTC,3220,2,6441,-18,-0.03,14,0.02,-100,-0.16,2850,0.29
99,Entry long,2025-05-18 23:00,Long,3220.5,2,6441,-18,-0.03,14,0.02,-100,-0.16,2850,0.29
100,Exit long,2025-05-18 23:20,EOD Close 21:00 UTC,3236.7,2,6472,6,0.01,48,0.07,-34,-0.05,2856,0.29
100,Entry long,2025-05-18 23:15,Long,3236,2,6472,6,0.01,48,0.07,-34,-0.05,2856,0.29
101,Exit long,2025-05-19 00:55,EOD Close 21:00 UTC,3238.2,2,6476.2,-6,-0.01,62,0.10,-28,-0.04,2850,0.29
101,Entry long,2025-05-19 00:50,Long,3238.1,2,6476.2,-6,-0.01,62,0.10,-28,-0.04,2850,0.29
102,Exit short,2025-05-19 06:00,Short Exit,3221.6,2,6421.6,-224,-0.35,48,0.07,-220,-0.34,2626,0.26
102,Entry short,2025-05-19 04:45,Short,3210.8,2,6421.6,-224,-0.35,48,0.07,-220,-0.34,2626,0.26
103,Exit short,2025-05-21 13:55,Short Exit,3306.1,2,6594.6,-184,-0.28,90,0.14,-180,-0.27,2442,0.24
103,Entry short,2025-05-21 13:25,Short,3297.3,2,6594.6,-184,-0.28,90,0.14,-180,-0.27,2442,0.24
104,Exit long,2025-05-23 14:00,Long Exit,3365,2,6669.4,598,0.90,602,0.90,-86,-0.13,3040,0.30
104,Entry long,2025-05-23 12:40,Long,3334.7,2,6669.4,598,0.90,602,0.90,-86,-0.13,3040,0.30
